Trial,Player,Gun,Time
15,-1,1,162
8,-1,-1,166
13,1,1,155
30,1,-1,161
16,-1,-1,178
17,1,1,173
26,1,-1,169
25,1,1,159
6,1,-1,185
36,-1,-1,156
63,-1,1,158
53,1,1,155
10,1,-1,177
18,1,-1,167
46,1,-1,169
54,1,-1,168
60,-1,-1,160
27,-1,1,153
9,1,1,170
48,-1,-1,159
19,-1,1,165
5,1,1,170
34,1,-1,179
55,-1,1,165
49,1,1,166
1,1,1,179
37,1,1,154
62,1,-1,161
35,-1,1,166
31,-1,1,163
64,-1,-1,161
39,-1,1,161
4,-1,-1,192
32,-1,-1,153
41,1,1,178
2,1,-1,167
57,1,1,161
50,1,-1,170
11,-1,1,173
61,1,1,156
29,1,1,165
40,-1,-1,158
12,-1,-1,174
42,1,-1,172
44,-1,-1,172
24,-1,-1,158
52,-1,-1,154
14,1,-1,171
33,1,1,178
45,1,1,167
21,1,1,159
7,-1,1,177
59,-1,1,161
47,-1,1,149
22,1,-1,170
51,-1,1,156
43,-1,1,150
23,-1,1,153
38,1,-1,157
58,1,-1,170
28,-1,-1,159
3,-1,1,173
20,-1,-1,165
56,-1,-1,182
