Trial,Player,Gun,Time
1,1,1,179
2,1,-1,167
3,-1,1,173
4,-1,-1,192
5,1,1,170
6,1,-1,185
7,-1,1,177
8,-1,-1,166
9,1,1,170
10,1,-1,177
11,-1,1,173
12,-1,-1,174
13,1,1,155
14,1,-1,171
15,-1,1,162
16,-1,-1,178
17,1,1,173
18,1,-1,167
19,-1,1,165
20,-1,-1,165
21,1,1,159
22,1,-1,170
23,-1,1,153
24,-1,-1,158
25,1,1,159
26,1,-1,169
27,-1,1,153
28,-1,-1,159
29,1,1,165
30,1,-1,161
31,-1,1,163
32,-1,-1,153
33,1,1,178
34,1,-1,179
35,-1,1,166
36,-1,-1,156
37,1,1,154
38,1,-1,157
39,-1,1,161
40,-1,-1,158
41,1,1,178
42,1,-1,172
43,-1,1,150
44,-1,-1,172
45,1,1,167
46,1,-1,169
47,-1,1,149
48,-1,-1,159
49,1,1,166
50,1,-1,170
51,-1,1,156
52,-1,-1,154
53,1,1,155
54,1,-1,168
55,-1,1,165
56,-1,-1,182
57,1,1,161
58,1,-1,170
59,-1,1,161
60,-1,-1,160
61,1,1,156
62,1,-1,161
63,-1,1,158
64,-1,-1,161
